condition,condition_label,agent,mean_viability,sd_viability,survival_rate,mean_steps,mean_repairs,mean_diagnostics,mean_wrong_acts,mean_self_error,mean_conflicts,n
control,Control,FirstOrderR,160.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,1400
control,Control,NoReliability,160.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,1400
control,Control,Oracle,160.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,1400
control,Control,RecursiveR,143.99999999999994,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,1400
truthful_self_perturbation,Truthful self perturbation,FirstOrderR,128.62642857142856,9.122297582456167,1.0,80.0,10.457857142857144,0.0,0.0,0.1307232142857143,0.0,1400
truthful_self_perturbation,Truthful self perturbation,NoReliability,-72.55,35.80407430663398,0.05928571428571429,44.46142857142857,0.0,0.0,17.94142857142857,0.47029834618668825,0.0,1400
truthful_self_perturbation,Truthful self perturbation,Oracle,128.47,9.156206955074015,1.0,80.0,10.51,0.0,0.0,0.13137500000000002,0.0,1400
truthful_self_perturbation,Truthful self perturbation,RecursiveR,112.91571428571415,8.895793123759393,1.0,80.0,10.361428571428572,0.0,0.0,0.12951785714285713,0.0,1400
reliability_blindness,Reliability blindness,FirstOrderR,84.13785714285714,27.778306385135622,0.9957142857142857,79.95357142857142,9.645714285714286,0.0,5.203571428571428,0.18586405923128746,5.200714285714286,1400
reliability_blindness,Reliability blindness,NoReliability,-78.62571428571428,28.947141621703974,0.027857142857142858,41.68714285714286,0.0,0.0,18.0,0.4935901297527962,6.305,1400
reliability_blindness,Reliability blindness,Oracle,126.42357142857144,9.244120753652993,1.0,80.0,11.192142857142857,0.0,0.0,0.13990178571428571,3.84,1400
reliability_blindness,Reliability blindness,RecursiveR,107.11857142857129,10.374814074407567,1.0,80.0,11.24,3.9357142857142855,0.0014285714285714286,0.14051785714285714,3.9357142857142855,1400
estimator_corruption,Estimator corruption,FirstOrderR,16.79357142857143,44.6424388854092,0.6335714285714286,73.94571428571429,9.353571428571428,0.0,11.448571428571428,0.2927339576675251,11.435,1400
estimator_corruption,Estimator corruption,NoReliability,-88.43928571428572,22.211100382239778,0.0064285714285714285,36.22428571428571,0.0,0.0,17.876428571428573,0.551506819108774,9.823571428571428,1400
estimator_corruption,Estimator corruption,Oracle,116.73142857142857,10.386010039175323,1.0,80.0,14.422857142857143,0.0,0.0,0.1802857142857143,7.976428571428571,1400
estimator_corruption,Estimator corruption,RecursiveR,95.1342857142856,11.802216698712547,1.0,80.0,14.207142857142857,7.757142857142857,0.004285714285714286,0.17764285714285713,7.757142857142857,1400
false_alarm_reliability,False alarms,FirstOrderR,74.20928571428571,12.871823134175994,0.9928571428571429,79.98214285714286,28.585,0.0,0.0,0.039773404797432826,23.567857142857143,1400
false_alarm_reliability,False alarms,NoReliability,35.489285714285714,78.30989847798548,0.6957142857142857,71.38142857142857,0.0,0.0,11.919285714285714,0.20217087378617013,18.377142857142857,1400
false_alarm_reliability,False alarms,Oracle,150.33357142857142,5.320279767056891,1.0,80.0,3.222142857142857,0.0,0.0,0.040276785714285716,23.61642857142857,1400
false_alarm_reliability,False alarms,RecursiveR,114.30428571428561,5.917250093363929,1.0,80.0,3.172857142857143,25.22142857142857,0.0,0.038955357142857146,23.465,1400
noisy_residual,Noisy residual,FirstOrderR,89.655,22.08545307011759,0.9985714285714286,79.98428571428572,14.142142857142858,0.0,3.0985714285714288,0.1276210014300768,12.952142857142857,1400
noisy_residual,Noisy residual,NoReliability,-51.36,49.307314520154364,0.16714285714285715,53.230714285714285,0.0,0.0,17.535714285714285,0.3875007853646673,9.785,1400
noisy_residual,Noisy residual,Oracle,135.26071428571427,8.047919353634072,1.0,80.0,8.246428571428572,0.0,0.0,0.10308035714285714,12.725714285714286,1400
noisy_residual,Noisy residual,RecursiveR,94.49014285714274,14.7463244344324,1.0,80.0,9.914285714285715,13.579285714285714,0.9892857142857143,0.11025,12.797857142857143,1400
high_meta_cost,High meta cost,FirstOrderR,15.224285714285715,43.288710890421285,0.625,73.90142857142857,9.347857142857142,0.0,11.615,0.2942069266708165,11.601428571428572,1400
high_meta_cost,High meta cost,NoReliability,-88.86214285714286,22.581001736777136,0.007857142857142858,35.85857142857143,0.0,0.0,17.842142857142857,0.5557130614132235,9.878571428571428,1400
high_meta_cost,High meta cost,Oracle,116.62214285714286,10.53606467025672,1.0,80.0,14.459285714285715,0.0,0.0,0.18074107142857143,8.060714285714285,1400
high_meta_cost,High meta cost,RecursiveR,-46.18928571428572,6.979206289612189,0.0,31.964285714285715,5.8185714285714285,3.175,0.005714285714285714,0.19021775090383308,3.175,1400
